Region,Country,City,Airport Name,IATA Code,longitude_deg,latitude_deg
Western Africa,Liberia,Monrovia,Roberts International Airport,ROB,-10.3623,6.23379
Western Africa,Mali,Bamako,Modibo Keita International Airport,BKO,-7.94994,12.5335
Western Africa,Mauritania,Nouakchott,Nouakchott–Oumtounsy International Airport,NKC,-15.969722,18.31
Western Africa,Mauritania,Nouadhibou,Nouadhibou International Airport,NDB,-17.030000686645508,20.9330997467041
Western Africa,Mauritania,Atar,Atar International Airport,ATR,-13.04319953918457,20.506799697875977
Western Africa,Niger,Niamey,Diori Hamani International Airport,NIM,2.18361,13.4815
Western Africa,Nigeria,Abuja,Nnamdi Azikiwe International Airport,ABV,7.26317,9.00679
Western Africa,Nigeria,Calabar,Margaret Ekpo International Airport,CBQ,8.347200393676758,4.976019859313965
Western Africa,Nigeria,"Asaba, Delta",Asaba International Airport,ABB,6.665278,6.204167
Western Africa,Nigeria,Kano,Mallam Aminu Kano International Airport,KAN,8.52462,12.0476
Western Africa,Nigeria,Lagos,Murtala Muhammed International Airport,LOS,3.32116,6.57737
Western Africa,Nigeria,Port Harcourt,Port Harcourt International Airport,PHC,6.94959020614624,5.0154900550842285
Western Africa,Nigeria,Enugu,Akanu Ibiam International Airport,ENU,7.561960220336914,6.474269866943359
Western Africa,Nigeria,Sokoto,Sadiq Abubakar III International Airport,SKO,5.207190036773682,12.916299819946287
Western Africa,"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,Saint Helena Airport,HLE,-5.645943,-15.957725
Western Africa,Senegal,Dakar,Blaise Diagne International Airport,DSS,-17.072829,14.670878
Western Africa,Sierra Leone,Freetown,Freetown International Airport,FNA,-13.1955,8.61644
Western Africa,Togo,Lomé,Lomé–Tokoin International Airport,LFW,1.25451,6.16561
Central Africa,Angola,Catumbela,Catumbela Airport,CBT,13.4869,-12.4792
Central Africa,Angola,Luanda,Quatro de Fevereiro Airport,LAD,13.2312,-8.85837
Central Africa,Angola,Lubango,Lubango Airport,SDD,13.574999809265137,-14.924699783325195
Central Africa,Cameroon,Douala,Douala International Airport,DLA,9.71948,4.00608
Central Africa,Cameroon,Yaoundé,Yaoundé Nsimalen International Airport,NSI,11.5533,3.72256
Central Africa,Central African Republic,Bangui,Bangui M'Poko International Airport,BGF,18.5188,4.3985
Central Africa,Chad,N'Djamena,N'Djamena International Airport,NDJ,15.034,12.1337
Central Africa,Democratic Republic of the Congo,Goma,Goma International Airport,GOM,29.237929,-1.66617
Central Africa,Democratic Republic of the Congo,Kinshasa,N'djili Airport,FIH,15.4446,-4.38575
Central Africa,Democratic Republic of the Congo,Kisangani,Kisangani Bangoka International Airport,FKI,25.3379993439,0.481638997793
Central Africa,Democratic Republic of the Congo,Lubumbashi,Lubumbashi International Airport,FBM,27.5308990479,-11.5913000107
Central Africa,Equatorial Guinea,Malabo,Malabo International Airport,SSG,8.708720207214355,3.755270004272461
Central Africa,Gabon,Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,13.438,-1.65616
Central Africa,Gabon,Libreville,Léon-Mba International Airport,LBV,9.41228,0.4586
Central Africa,Gabon,Port-Gentil,Port-Gentil International Airport,POG,8.75438,-0.711739
Central Africa,Republic of the Congo,Brazzaville,Maya-Maya Airport,BZV,15.253,-4.2517
Central Africa,Republic of the Congo,Pointe-Noire,Agostinho-Neto International Airport,PNR,11.8866,-4.81603
Central Africa,São Tomé and Príncipe,São Tomé,São Tomé International Airport,TMS,6.71215,0.378175
Southern Africa,Botswana,Gaborone,Sir Seretse Khama International Airport,GBE,25.9182,-24.555201
Southern Africa,Botswana,Maun,Maun Airport,MUB,23.431409,-19.970491
Southern Africa,Botswana,Francistown,Francistown International Airport,FRW,27.468545,-21.15914
Southern Africa,Botswana,Kasane,Kasane Airport,BBK,25.162399,-17.832899
Southern Africa,Eswatini,Manzini,King Mswati III International Airport,SHO,31.716944,-26.358611
Southern Africa,Lesotho,Maseru,Moshoeshoe I International Airport,MSU,27.5525,-29.462299
Southern Africa,Namibia,Windhoek,Hosea Kutako International Airport,WDH,17.4709,-22.4799
Southern Africa,Namibia,Walvis Bay,Walvis Bay Airport,WVB,14.647102,-22.979332
Southern Africa,South Africa,Bloemfontein,Bram Fischer International Airport,BFN,26.3024,-29.0927
Southern Africa,South Africa,Cape Town,Cape Town International Airport,CPT,18.6017,-33.9648
Southern Africa,South Africa,Durban,King Shaka International Airport,DUR,31.1197,-29.6145
Southern Africa,South Africa,East London,East London Airport,ELS,27.8259,-33.0356
Southern Africa,South Africa,Johannesburg,O. R. Tambo International Airport,JNB,28.246,-26.1392
Southern Africa,South Africa,Nelspruit,Kruger Mpumalanga International Airport,MQP,31.1056,-25.3832
Southern Africa,South Africa,Polokwane,Polokwane International Airport,PTG,29.4587,-23.8453
Eastern Africa,Burundi,Bujumbura,Bujumbura International Airport,BJM,29.318501,-3.32402
Eastern Africa,Comoros,Moroni,Prince Said Ibrahim International Airport,HAH,43.2719,-11.5337
Eastern Africa,Djibouti,Djibouti,Djibouti–Ambouli International Airport,JIB,43.1595,11.5473
Eastern Africa,Eritrea,Asmara,Asmara International Airport,ASM,38.910701751708984,15.291899681091309
Eastern Africa,Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,ADD,38.799301,8.97789
Eastern Africa,Ethiopia,Dire Dawa,Dire Dawa Airport,DIR,41.85419845581055,9.624699592590332
Eastern Africa,Kenya,Eldoret,Eldoret International Airport,EDL,35.238899,0.404458
Eastern Africa,Kenya,Mombasa,Moi International Airport,MBA,39.5942,-4.03483
Eastern Africa,Kenya,Kisumu,Kisumu International Airport,KIS,34.728901,-0.086139
Eastern Africa,Kenya,Nairobi,Jomo Kenyatta International Airport,NBO,36.9277992249,-1.31923997402
Eastern Africa,Madagascar,Antananarivo,Ivato International Airport,TNR,47.478802,-18.7969
Eastern Africa,Madagascar,Antsiranana,Arrachart Airport,DIE,49.291698,-12.3494
Eastern Africa,Madagascar,Mahajanga,Amborovy Airport,MJN,46.351233,-15.666842
Eastern Africa,Madagascar,Nosy Be,Fascene Airport,NOS,48.3148,-13.3121
Eastern Africa,Madagascar,Toamasina,Toamasina Airport,TMM,49.392502,-18.109501
Eastern Africa,Madagascar,Tôlanaro,Tôlanaro Airport,FTU,46.9561,-25.038099
Eastern Africa,Madagascar,Toliara,Toliara Airport,TLE,43.7285,-23.3834
Eastern Africa,Malawi,Blantyre,Chileka International Airport,BLZ,34.9739990234375,-15.679100036621094
Eastern Africa,Malawi,Lilongwe,Lilongwe International Airport,LLW,33.780998,-13.7894
Eastern Africa,Mauritius,Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU,57.683601,-20.430201
Eastern Africa,Mayotte,Dzaoudzi,Dzaoudzi–Pamandzi International Airport,DZA,45.281815,-12.809319
Eastern Africa,Mozambique,Maputo,Maputo International Airport,MPM,32.572601,-25.920799
Eastern Africa,Mozambique,Beira,Beira Airport,BEW,34.9076,-19.7964
Eastern Africa,Mozambique,Inhambane,Inhambane Airport,INH,35.408501,-23.8764
Eastern Africa,Mozambique,Nampula,Nampula Airport,APL,39.28179931640625,-15.105600357055664
Eastern Africa,Mozambique,Pemba,Pemba Airport,POL,40.524867,-12.993302
Eastern Africa,Mozambique,Tete,Chingozi Airport,TET,33.640201568603516,-16.104799270629883
Eastern Africa,Mozambique,Vilankulo,Vilankulo Airport,VNX,35.31330108642578,-22.018400192260746
Eastern Africa,Réunion,Saint-Denis,Roland Garros Airport,RUN,55.518894,-20.890087
Eastern Africa,Rwanda,Kigali,Kigali International Airport,KGL,30.1395,-1.96863
Eastern Africa,Seychelles,Victoria,Seychelles International Airport,SEZ,55.521801,-4.67434
Eastern Africa,Somalia,Bosaso,Bosaso Airport,BSA,49.139231,11.275235
Eastern Africa,Somalia,Galkayo,Abdullahi Yusuf Airport,GLK,47.45470047,6.78082990646
Eastern Africa,Somalia,Garowe,Garowe Airport,GGR,48.567407,8.457942
Eastern Africa,Somalia,Hargeisa,Hargeisa Airport,HGA,44.082389,9.513207
Eastern Africa,Somalia,Kismayo,Kismayo Airport,KMU,42.459202,-0.377353
Eastern Africa,Somalia,Mogadishu,Aden Adde International Airport,MGQ,45.304699,2.01444
Eastern Africa,South Sudan,Juba,Juba International Airport,JUB,31.601101,4.87201
Eastern Africa,South Sudan,Malakal,Malakal Airport,MAK,31.652201,9.55897
Eastern Africa,Tanzania,Arusha,Arusha Airport,ARK,36.63330078125,-3.3677899837493896
Eastern Africa,Tanzania,Dar es Salaam,Julius Nyerere International Airport,DAR,39.202599,-6.87811
Eastern Africa,Tanzania,Hai District,Kilimanjaro International Airport,JRO,37.074501,-3.42941
